id,name,text,emotion,sentiment,toxicity_score,abusive_words,length,platform,timestamp,cyberbullying
239,vikram,Go away idiot,anger,negative,0.91,1,13,Twitter,2026-03-25 14:53:29.608386,1
240,arjun,You are useless,anger,negative,0.98,3,15,YouTube,2026-03-25 14:54:29.608386,1
241,vikram,Great work!,neutral,neutral,0.14,0,11,Twitter,2026-03-25 14:55:29.608386,0
242,meena,Keep going,neutral,neutral,0.01,0,10,Twitter,2026-03-25 14:56:29.608386,0
243,meena,Go away idiot,anger,negative,0.7,3,13,YouTube,2026-03-25 14:57:29.608386,1
244,priya,Keep going,joy,positive,0.05,0,10,Instagram,2026-03-25 14:58:29.608386,0
245,sara,Nobody likes you,anger,negative,0.9,2,16,Twitter,2026-03-25 14:59:29.608386,1
246,arjun,Have a nice day,neutral,neutral,0.08,0,15,Instagram,2026-03-25 15:00:29.608386,0
247,rahul,Have a nice day,joy,neutral,0.12,0,15,Twitter,2026-03-25 15:01:29.608386,0
248,meena,Well done,neutral,neutral,0.09,0,9,YouTube,2026-03-25 15:02:29.608386,0
249,arjun,You are useless,anger,negative,0.95,2,15,Twitter,2026-03-25 15:03:29.608386,1
250,vikram,Great work!,neutral,positive,0.21,0,11,YouTube,2026-03-25 15:04:29.608386,0
251,rahul,You are a loser,anger,negative,0.83,3,15,Twitter,2026-03-25 15:05:29.608386,1
252,anita,Well done,neutral,neutral,0.05,0,9,Instagram,2026-03-25 15:06:29.608386,0
253,meena,Nobody likes you,anger,negative,0.83,1,16,YouTube,2026-03-25 15:07:29.608386,1
254,priya,Well done,neutral,positive,0.02,0,9,YouTube,2026-03-25 15:08:29.608386,0
255,meena,Go away idiot,anger,negative,0.71,2,13,YouTube,2026-03-25 15:09:29.608386,1
256,arjun,You are useless,anger,negative,0.81,2,15,Twitter,2026-03-25 15:10:29.608386,1
257,arjun,You are so stupid,anger,negative,0.84,2,17,Twitter,2026-03-25 15:11:29.608386,1
258,priya,Well done,joy,neutral,0.04,0,9,Instagram,2026-03-25 15:12:29.608386,0
259,priya,Well done,joy,neutral,0.3,0,9,Instagram,2026-03-25 15:13:29.608386,0
260,john,Nobody likes you,anger,negative,0.95,3,16,Instagram,2026-03-25 15:14:29.608386,1
261,sara,Good effort,neutral,positive,0.16,0,11,YouTube,2026-03-25 15:15:29.608386,0
262,anita,Go away idiot,anger,negative,0.89,2,13,Twitter,2026-03-25 15:16:29.608386,1
263,sara,Shut up you fool,anger,negative,0.78,1,16,Twitter,2026-03-25 15:17:29.608386,1
264,vikram,You are so stupid,anger,negative,0.94,2,17,Instagram,2026-03-25 15:18:29.608386,1
265,anita,You are a loser,anger,negative,0.88,1,15,Twitter,2026-03-25 15:19:29.608386,1
266,arjun,Keep going,joy,neutral,0.04,0,10,Twitter,2026-03-25 15:20:29.608386,0
267,arjun,Keep going,neutral,neutral,0.27,0,10,Twitter,2026-03-25 15:21:29.608386,0
268,john,That's amazing,neutral,neutral,0.03,0,14,YouTube,2026-03-25 15:22:29.608386,0
269,anita,Shut up you fool,anger,negative,0.73,1,16,YouTube,2026-03-25 15:23:29.608386,1
270,anita,Great work!,neutral,neutral,0.18,0,11,YouTube,2026-03-25 15:24:29.608386,0
271,arjun,Nobody likes you,anger,negative,0.92,3,16,YouTube,2026-03-25 15:25:29.608386,1
272,john,You are useless,anger,negative,0.89,2,15,YouTube,2026-03-25 15:26:29.608386,1
273,meena,That's amazing,joy,positive,0.3,0,14,Twitter,2026-03-25 15:27:29.608386,0
274,vikram,Keep going,neutral,positive,0.22,0,10,Twitter,2026-03-25 15:28:29.608386,0
275,arjun,Great work!,joy,neutral,0.09,0,11,YouTube,2026-03-25 15:29:29.608386,0
276,rahul,You are a loser,anger,negative,0.71,3,15,YouTube,2026-03-25 15:30:29.608386,1
277,priya,Keep going,neutral,neutral,0.12,0,10,YouTube,2026-03-25 15:31:29.608386,0
278,john,Have a nice day,joy,positive,0.27,0,15,Twitter,2026-03-25 15:32:29.608386,0
279,john,Nobody likes you,anger,negative,0.86,3,16,Twitter,2026-03-25 15:33:29.608386,1
280,rahul,You are a loser,anger,negative,0.85,3,15,YouTube,2026-03-25 15:34:29.608386,1
281,john,Go away idiot,anger,negative,0.86,3,13,Instagram,2026-03-25 15:35:29.608386,1
282,vikram,You are a loser,anger,negative,0.8,2,15,Twitter,2026-03-25 15:36:29.608386,1
283,anita,Keep going,neutral,positive,0.16,0,10,YouTube,2026-03-25 15:37:29.608386,0
